ano_calendario,ppg_codigo,ppg_nome,ppg_nota,institution_id,ies_sigla,nome_docente,doutorado_ano,regime_trabalho,carga_horaria,link_do_lattes,author_id,bolsista_produtividade,extrato_bolsa_produtividade,doutorado_institution_id,doutorado_institution_name,doutorado_ppg_codigo,doutorado_supervisor_id,doutorado_supervisor_name
2022,42005019016P8,CC,7,I45643870,PUC/RS,TIAGO COELHO FERRETO,2010,Integral,40,http://lattes.cnpq.br/8685431534934812,A5009859711,VERDADEIRO,DT2,I45643870,Pontifícia Universidade Católica do Rio Grande do Sul,31005012004P9,A5071130875,César Augusto Fonticielha De Rose
2022,42005019016P8,CC,7,I45643870,PUC/RS,SORAIA RAUPP MUSSE,2000,Integral,40,http://lattes.cnpq.br/2302314954133011,A5059434669,VERDADEIRO,PQ1C,I5124864,École polytechnique fédérale de Lausanne,,A5005709068,Dr Daniel Thalmann
2022,42005019016P8,CC,7,I45643870,PUC/RS,SABRINA DOS SANTOS MARCZAK,2011,Integral,40,http://lattes.cnpq.br/9458496222461501,A5014651524,VERDADEIRO,PQ2,I212119943,University of Victoria,,A5007049054,Daniela Damian
2022,42005019016P8,CC,7,I45643870,PUC/RS,RODRIGO COELHO BARROS,2013,Integral,20,http://lattes.cnpq.br/8172124241767828,A5039629929,VERDADEIRO,PQ2,I17974374,Universidade de São Paulo,33002045004P1,A5079499583,André Carlos Ponce de Leon Ferreira de Carvalho
2022,42005019016P8,CC,7,I45643870,PUC/RS,RAFAEL PRIKLADNICKI,2009,Integral,40,http://lattes.cnpq.br/2007065934836962,A5024645888,VERDADEIRO,PQ1D,I45643870,Pontifícia Universidade Católica do Rio Grande do Sul,31005012004P9,A5022404709,Jorge Luis Nicolas Audy
2022,42005019016P8,CC,7,I45643870,PUC/RS,RAFAEL HEITOR BORDINI,1998,Integral,40,http://lattes.cnpq.br/4589262718627942,A5037986871,VERDADEIRO,PQ2,I45129253,University College London (University of London),,,John Anthony Campbell
2022,42005019016P8,CC,7,I45643870,PUC/RS,NEY LAERT VILAR CALAZANS,1993,Dedicação Exclusiva,40,http://lattes.cnpq.br/3309342336039521,A5072149252,VERDADEIRO,PQ1D,I95674353,Université catholique de Louvain,,A5083236596,Marc Davio (in Memoriam) / Anne Marie Anckaert Trullemans
2022,42005019016P8,CC,7,I45643870,PUC/RS,MILENE SELBACH SILVEIRA,2002,Dedicação Exclusiva,40,http://lattes.cnpq.br/0483707899231728,A5039610148,FALSO,,I45643870,Pontifícia Universidade Católica do Rio Grande do Sul,31005012004P9,A5034425412,Clarisse Sieckenius de Souza
2022,42005019016P8,CC,7,I45643870,PUC/RS,MARCIO SARROGLIA PINHO,2002,Dedicação Exclusiva,40,http://lattes.cnpq.br/9183721973235194,A5079270282,FALSO,,I130442723,Universidade Federal do Rio Grande do Sul,42001013004P4,A5074265846,Carla Maria Dal Sasso Freitas
2022,42005019016P8,CC,7,I45643870,PUC/RS,LUIZ GUSTAVO LEAO FERNANDES,2001,Integral,40,http://lattes.cnpq.br/5979862734558983,A5076792297,VERDADEIRO,PQ2,I106785703,Institut National Polytechnique de Grenoble,,A5079734350,Brigitte Plateau e Yves Denneulin
2022,42005019016P8,CC,7,I45643870,PUC/RS,ISABEL HARB MANSSOUR,2002,Integral,40,http://lattes.cnpq.br/4904489502853690,A5006120617,VERDADEIRO,DT2,I130442723,Universidade Federal do Rio Grande do Sul,42001013004P4,A5074265846,Carla Maria Dal Sasso Freitas
2022,42005019016P8,CC,7,I45643870,PUC/RS,FERNANDO LUIS DOTTI,1997,Dedicação Exclusiva,40,http://lattes.cnpq.br/3145198954829457,A5003030193,FALSO,,I4577782,Technische Universität Berlin,,A5002436146,Prof. Dr. Dr. h. c. Radu Popescu-Zeletin
2022,42005019016P8,CC,7,I45643870,PUC/RS,FERNANDO GEHM MORAES,1994,Dedicação Exclusiva,40,http://lattes.cnpq.br/2509301929350826,A5025418231,VERDADEIRO,PQ1B,I4387154756,Université de Montpellier 2 - Sciences et Techniques,,A5017195775,Michel Robert
2022,42005019016P8,CC,7,I45643870,PUC/RS,FELIPE RECH MENEGUZZI,2009,Integral,40,http://lattes.cnpq.br/5973550650941724,A5073632183,FALSO,,I43439940,University of Southampton,,A5069481846,Michael M. Luck
2022,42005019016P8,CC,7,I45643870,PUC/RS,FABIANO PASSUELO HESSEL,2000,Dedicação Exclusiva,40,http://lattes.cnpq.br/4842733764531027,A5048898582,VERDADEIRO,PQ2,I177483745,Université Joseph Fourier - Grenoble I,,A5060914321,Ahmed-Aminie Jerraya
2022,42005019016P8,CC,7,I45643870,PUC/RS,DUNCAN DUBUGRAS ALCOBA RUIZ,1995,Dedicação Exclusiva,40,http://lattes.cnpq.br/8250832800932125,A5019215692,VERDADEIRO,DT2,I130442723,Universidade Federal do Rio Grande do Sul,42001013004P4,A5036500408,José Palazzo Moreira de Oliveira
2022,42005019016P8,CC,7,I45643870,PUC/RS,DALVAN JAIR GRIEBLER,2016,Parcial,20,http://lattes.cnpq.br/1989039890812573,A5086071233,VERDADEIRO,DT2,I45643870,Pontifícia Universidade Católica do Rio Grande do Sul,31005012004P9,A5076792297,Luiz Gustavo Fernandes
2022,42005019016P8,CC,7,I45643870,PUC/RS,CESAR AUGUSTO MISSIO MARCON,2005,Integral,30,http://lattes.cnpq.br/8611020242763828,A5079404294,VERDADEIRO,PQ2,I130442723,Universidade Federal do Rio Grande do Sul,42001013004P4,A5073761286,Altamiro Amadeu Susin
